voter_reg,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date,DUPS
ABSENTEE BALLOT (FPCA),5,4,0,0,0,0,9,1/31/18,2
BY MAIL,446,147,0,7,154,8,762,1/31/18,195
DESIGNATED STATE AGENCIES,179,43,1,3,76,3,305,1/31/18,54
ELDERLY / DISABLED / SOC SEC,229,61,3,5,124,10,432,1/31/18,3
ERIC REPORT,325,114,5,3,107,6,560,1/31/18,6
FROM ANOTHER BOARD,24,6,0,0,6,2,38,1/31/18,15
PROVISIONAL BALLOT,0,0,0,0,0,0,0,1/31/18,1
IN PERSON,62,18,0,1,18,1,100,1/31/18,15
MOTOR VEHICLE ADMINISTRATION,5405,2340,34,122,3167,88,"11,156",1/31/18,424
NVRA BY MAIL,20,5,0,0,6,0,31,1/31/18,9
ONLINE REGISTRATION,445,123,6,6,166,7,753,1/31/18,12
OTHER MEANS,49,23,0,2,25,1,100,1/31/18,88
RECRUITING,0,0,0,0,0,0,0,1/31/18,2
SOCIAL SERVICES,4,1,0,0,5,0,10,1/31/18,1
VOLUNTEER,35,7,0,0,8,0,50,1/31/18,0
