voter_removal,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
BOARD ACTION,0,0,0,0,1,0,1,4/30/18
CONFIRMATION MAIL,11,2,0,1,2,1,17,4/30/18
COUNTY TRANSFER - OUT,"2,231",691,9,29,684,18,"3,662",4/30/18
CRIMINAL CONVICTION,139,22,0,0,30,1,192,4/30/18
DEATH NOTICE,"1,782",838,1,11,287,34,"2,953",4/30/18
DUPLICATE,14,4,0,0,2,2,22,4/30/18
MAIL VERIFICATION (NVRA),2,0,0,0,3,0,5,4/30/18
MENTAL INCOMPETENCY,0,0,0,0,0,0,0,4/30/18
MOVED OUT OF STATE,646,457,2,5,283,20,"1,413",4/30/18
OTHER,23,3,0,2,11,1,40,4/30/18
VOTER REQUEST,11,9,0,0,4,1,25,4/30/18
