county,address,name,dem,rep,grn,lib,unaf,oth,total,date,dem_perc,rep_perc,grn_perc,lib_perc,unaf_perc,oth_perc
ALLEGANY,364,47,15,10,0,1,15,0,41,2018-01-31,36.58536585365854,24.390243902439025,0,2.4390243902439024,36.58536585365854,0
ANNE ARUNDEL,2860,553,134,128,4,4,93,3,366,2018-01-31,36.6120218579235,34.97267759562842,1.092896174863388,1.092896174863388,25.40983606557377,0.819672131147541
BALTIMORE CITY,3635,723,105,46,10,3,53,6,223,2018-01-31,47.08520179372198,20.62780269058296,4.484304932735426,1.345291479820628,23.766816143497756,2.690582959641256
BALTIMORE CO.,4858,1013,194,139,9,12,108,14,476,2018-01-31,40.7563025210084,29.20168067226891,1.8907563025210083,2.5210084033613445,22.689075630252102,2.941176470588235
CALVERT,358,177,28,26,2,0,21,2,79,2018-01-31,35.44303797468354,32.91139240506329,2.5316455696202533,0,26.582278481012654,2.5316455696202533
CAROLINE,124,35,12,5,0,0,9,0,26,2018-01-31,46.15384615384615,19.230769230769234,0,0,34.61538461538461,0
CARROLL,728,179,35,59,1,2,30,2,129,2018-01-31,27.131782945736433,45.73643410852713,0.7751937984496124,1.550387596899225,23.25581395348837,1.550387596899225
CECIL,511,115,23,18,2,8,16,1,68,2018-01-31,33.82352941176471,26.47058823529412,2.941176470588235,11.76470588235294,23.52941176470588,1.4705882352941175
CHARLES,893,224,57,44,1,1,29,3,135,2018-01-31,42.22222222222222,32.592592592592595,0.7407407407407408,0.7407407407407408,21.48148148148148,2.2222222222222223
DORCHESTER,182,32,9,4,0,3,4,2,22,2018-01-31,40.909090909090914,18.181818181818183,0,13.636363636363635,18.181818181818183,9.090909090909092
FREDERICK,1390,308,58,81,3,4,70,1,217,2018-01-31,26.72811059907834,37.327188940092164,1.3824884792626728,1.8433179723502304,32.25806451612903,0.4608294930875576
GARRETT,152,24,7,8,0,1,6,0,22,2018-01-31,31.818181818181817,36.36363636363637,0,4.545454545454546,27.27272727272727,0
HARFORD,1421,301,73,79,1,4,62,5,224,2018-01-31,32.589285714285715,35.267857142857146,0.4464285714285714,1.7857142857142856,27.67857142857143,2.232142857142857
HOWARD,1335,307,48,83,3,5,81,7,227,2018-01-31,21.145374449339208,36.56387665198238,1.3215859030837005,2.2026431718061676,35.68281938325991,3.0837004405286343
KENT,69,19,2,3,1,0,2,0,8,2018-01-31,25,37.5,12.5,0,25,0
MONTGOMERY,5595,1224,187,202,15,8,205,19,636,2018-01-31,29.40251572327044,31.761006289308174,2.358490566037736,1.257861635220126,32.23270440251572,2.9874213836477987
PR. GEORGE'S,4821,936,153,58,2,3,95,22,333,2018-01-31,45.94594594594595,17.417417417417415,0.6006006006006006,0.9009009009009009,28.52852852852853,6.606606606606606
QUEEN ANNE'S,300,56,10,10,0,1,12,1,34,2018-01-31,29.411764705882355,29.411764705882355,0,2.941176470588235,35.294117647058826,2.941176470588235
ST. MARY'S,537,111,22,27,1,4,18,1,73,2018-01-31,30.136986301369863,36.986301369863014,1.36986301369863,5.47945205479452,24.65753424657534,1.36986301369863
SOMERSET,105,32,15,4,0,0,5,0,24,2018-01-31,62.5,16.666666666666664,0,0,20.833333333333336,0
TALBOT,201,51,6,12,1,1,5,1,26,2018-01-31,23.076923076923077,46.15384615384615,3.8461538461538463,3.8461538461538463,19.230769230769234,3.8461538461538463
WASHINGTON,842,147,33,26,2,1,35,4,101,2018-01-31,32.67326732673268,25.742574257425744,1.9801980198019802,0.9900990099009901,34.65346534653465,3.9603960396039604
WICOMICO,302,76,24,16,0,2,12,3,57,2018-01-31,42.10526315789473,28.07017543859649,0,3.508771929824561,21.052631578947366,5.263157894736842
WORCESTER,279,47,15,15,0,0,17,0,47,2018-01-31,31.914893617021278,31.914893617021278,0,0,36.17021276595745,0
Total,31862,6737,1265,1103,58,68,1003,97,3594,2018-01-31,35.197551474680026,30.69003895381191,1.613800779076238,1.8920422927100722,27.907623817473564,2.6989426822481914
ALLEGANY,132,55,29,6,0,1,10,1,47,2018-02-28,61.702127659574465,12.76595744680851,0,2.127659574468085,21.27659574468085,2.127659574468085
ANNE ARUNDEL,842,379,103,88,5,8,78,4,286,2018-02-28,36.01398601398601,30.76923076923077,1.7482517482517483,2.797202797202797,27.27272727272727,1.3986013986013985
BALTIMORE CITY,1254,598,75,50,8,4,60,10,207,2018-02-28,36.231884057971016,24.154589371980677,3.864734299516908,1.932367149758454,28.985507246376812,4.830917874396135
BALTIMORE CO.,1261,688,154,110,2,8,107,9,390,2018-02-28,39.48717948717949,28.205128205128204,0.5128205128205128,2.051282051282051,27.435897435897438,2.307692307692308
CALVERT,114,73,34,15,0,2,12,4,67,2018-02-28,50.74626865671642,22.388059701492537,0,2.9850746268656714,17.91044776119403,5.970149253731343
CAROLINE,179,20,9,3,1,0,7,0,20,2018-02-28,45,15,5,0,35,0
CARROLL,212,101,27,24,2,4,19,4,80,2018-02-28,33.75,30,2.5,5,23.75,5
CECIL,166,86,20,15,2,1,24,3,65,2018-02-28,30.76923076923077,23.076923076923077,3.076923076923077,1.5384615384615385,36.92307692307693,4.615384615384616
CHARLES,263,143,24,36,0,1,25,2,88,2018-02-28,27.27272727272727,40.909090909090914,0,1.1363636363636365,28.40909090909091,2.272727272727273
DORCHESTER,58,21,6,5,0,0,8,0,19,2018-02-28,31.57894736842105,26.31578947368421,0,0,42.10526315789473,0
FREDERICK,394,195,41,35,3,4,51,1,135,2018-02-28,30.37037037037037,25.925925925925924,2.2222222222222223,2.9629629629629632,37.77777777777778,0.7407407407407408
GARRETT,41,20,5,5,0,1,1,0,12,2018-02-28,41.66666666666667,41.66666666666667,0,8.333333333333332,8.333333333333332,0
HARFORD,396,204,63,30,3,3,43,6,148,2018-02-28,42.567567567567565,20.27027027027027,2.027027027027027,2.027027027027027,29.054054054054053,4.054054054054054
HOWARD,324,199,38,48,2,1,54,5,148,2018-02-28,25.675675675675674,32.432432432432435,1.3513513513513513,0.6756756756756757,36.486486486486484,3.3783783783783785
KENT,25,12,5,3,0,0,5,0,13,2018-02-28,38.46153846153847,23.076923076923077,0,0,38.46153846153847,0
MONTGOMERY,1864,894,136,167,9,11,194,20,537,2018-02-28,25.32588454376164,31.098696461824954,1.675977653631285,2.0484171322160147,36.12662942271881,3.7243947858473
PR. GEORGE'S,2457,1631,139,70,5,9,108,15,346,2018-02-28,40.17341040462428,20.23121387283237,1.4450867052023122,2.601156069364162,31.213872832369944,4.335260115606936
QUEEN ANNE'S,51,37,16,6,0,1,7,0,30,2018-02-28,53.333333333333336,20,0,3.3333333333333335,23.333333333333332,0
ST. MARY'S,170,77,17,21,1,0,14,1,54,2018-02-28,31.48148148148148,38.88888888888889,1.8518518518518516,0,25.925925925925924,1.8518518518518516
SOMERSET,39,16,6,2,1,1,2,2,14,2018-02-28,42.857142857142854,14.285714285714285,7.142857142857142,7.142857142857142,14.285714285714285,14.285714285714285
TALBOT,93,45,8,11,0,0,9,0,28,2018-02-28,28.57142857142857,39.285714285714285,0,0,32.142857142857146,0
WASHINGTON,267,125,27,17,1,2,24,1,72,2018-02-28,37.5,23.61111111111111,1.3888888888888888,2.7777777777777777,33.33333333333333,1.3888888888888888
WICOMICO,270,92,19,13,0,1,11,3,47,2018-02-28,40.42553191489361,27.659574468085108,0,2.127659574468085,23.404255319148938,6.382978723404255
WORCESTER,96,53,18,7,0,0,10,1,36,2018-02-28,50,19.444444444444446,0,0,27.77777777777778,2.7777777777777777
Total,10968,5764,1019,787,45,63,883,92,2889,2018-02-28,35.27172031844929,27.241259951540325,1.557632398753894,2.1806853582554515,30.564209068881965,3.1844929041190726
ALLEGANY,346,28,19,7,0,0,8,3,37,2018-03-31,51.35135135135135,18.91891891891892,0,0,21.62162162162162,8.108108108108109
ANNE ARUNDEL,1840,460,91,98,2,5,115,10,321,2018-03-31,28.34890965732087,30.529595015576323,0.6230529595015576,1.557632398753894,35.82554517133956,3.115264797507788
BALTIMORE CITY,4410,688,86,61,9,2,85,12,255,2018-03-31,33.72549019607843,23.92156862745098,3.5294117647058822,0.7843137254901961,33.33333333333333,4.705882352941177
BALTIMORE CO.,4638,817,162,125,3,10,119,15,434,2018-03-31,37.327188940092164,28.80184331797235,0.6912442396313364,2.3041474654377883,27.419354838709676,3.4562211981566824
CALVERT,400,81,46,15,0,5,34,5,105,2018-03-31,43.80952380952381,14.285714285714285,0,4.761904761904762,32.38095238095238,4.761904761904762
CAROLINE,74,23,12,4,0,0,9,0,25,2018-03-31,48,16,0,0,36,0
CARROLL,603,105,21,31,0,3,27,2,84,2018-03-31,25,36.904761904761905,0,3.571428571428571,32.142857142857146,2.380952380952381
CECIL,416,96,38,13,0,2,23,3,79,2018-03-31,48.10126582278481,16.455696202531644,0,2.5316455696202533,29.11392405063291,3.79746835443038
CHARLES,803,155,30,43,1,2,25,3,104,2018-03-31,28.846153846153843,41.34615384615385,0.9615384615384616,1.9230769230769231,24.03846153846154,2.8846153846153846
DORCHESTER,234,27,6,4,1,2,7,0,20,2018-03-31,30,20,5,10,35,0
FREDERICK,1199,218,45,47,5,3,61,3,164,2018-03-31,27.439024390243905,28.65853658536585,3.048780487804878,1.8292682926829267,37.19512195121951,1.8292682926829267
GARRETT,116,14,3,3,0,1,4,0,11,2018-03-31,27.27272727272727,27.27272727272727,0,9.090909090909092,36.36363636363637,0
HARFORD,1307,225,64,37,2,2,40,8,153,2018-03-31,41.830065359477125,24.183006535947712,1.3071895424836601,1.3071895424836601,26.143790849673206,5.228758169934641
HOWARD,1163,238,51,51,6,5,64,5,182,2018-03-31,28.021978021978022,28.021978021978022,3.296703296703297,2.7472527472527473,35.16483516483517,2.7472527472527473
KENT,69,13,5,3,0,1,5,1,15,2018-03-31,33.33333333333333,20,0,6.666666666666667,33.33333333333333,6.666666666666667
MONTGOMERY,5328,1009,153,178,9,9,279,33,661,2018-03-31,23.14674735249622,26.928895612708022,1.361573373676248,1.361573373676248,42.208774583963695,4.992435703479576
PR. GEORGE'S,5047,919,158,71,7,7,93,14,350,2018-03-31,45.14285714285714,20.285714285714285,2,2,26.571428571428573,4
QUEEN ANNE'S,197,54,12,8,1,0,13,0,34,2018-03-31,35.294117647058826,23.52941176470588,2.941176470588235,0,38.23529411764706,0
