year,month,date,party,number,source
2000,September,9/30/2000,dem,1502558,https://elections.maryland.gov/pdf/vrar/0000_09.pdf
2000,September,9/30/2000,rep,788674,https://elections.maryland.gov/pdf/vrar/0000_09.pdf
2000,September,9/30/2000,lib,3466,https://elections.maryland.gov/pdf/vrar/0000_09.pdf
2000,September,9/30/2000,grn,443,https://elections.maryland.gov/pdf/vrar/0000_09.pdf
2000,September,9/30/2000,const,31,https://elections.maryland.gov/pdf/vrar/0000_09.pdf
2000,September,9/30/2000,ref,771,https://elections.maryland.gov/pdf/vrar/0000_09.pdf
2000,September,9/30/2000,dec/oth,340486,https://elections.maryland.gov/pdf/vrar/0000_09.pdf
2000,September,9/30/2000,total,2636429,https://elections.maryland.gov/pdf/vrar/0000_09.pdf
2001,September,9/30/2001,dem,1505447,https://elections.maryland.gov/pdf/vrar/0001_09.pdf
2001,September,9/30/2001,rep,792964,https://elections.maryland.gov/pdf/vrar/0001_09.pdf
2001,September,9/30/2001,lib,4891,https://elections.maryland.gov/pdf/vrar/0001_09.pdf
2001,September,9/30/2001,grn,2341,https://elections.maryland.gov/pdf/vrar/0001_09.pdf
2001,September,9/30/2001,const,144,https://elections.maryland.gov/pdf/vrar/0001_09.pdf
2001,September,9/30/2001,ref,1019,https://elections.maryland.gov/pdf/vrar/0001_09.pdf
2001,September,9/30/2001,unaf,341022,https://elections.maryland.gov/pdf/vrar/0001_09.pdf
2001,September,9/30/2001,other,10207,https://elections.maryland.gov/pdf/vrar/0001_09.pdf
2001,September,9/30/2001,total,2658035,https://elections.maryland.gov/pdf/vrar/0001_09.pdf
2002,September,9/30/2002,dem,1541463,https://elections.maryland.gov/pdf/vrar/0002_09.pdf
2002,September,9/30/2002,rep,825008,https://elections.maryland.gov/pdf/vrar/0002_09.pdf
2002,September,9/30/2002,lib,6321,https://elections.maryland.gov/pdf/vrar/0002_09.pdf
2002,September,9/30/2002,grn,4268,https://elections.maryland.gov/pdf/vrar/0002_09.pdf
2002,September,9/30/2002,const,278,https://elections.maryland.gov/pdf/vrar/0002_09.pdf
2002,September,9/30/2002,ref,1140,https://elections.maryland.gov/pdf/vrar/0002_09.pdf
2002,September,9/30/2002,unaf,311442,https://elections.maryland.gov/pdf/vrar/0002_09.pdf
2002,September,9/30/2002,other,59639,https://elections.maryland.gov/pdf/vrar/0002_09.pdf
2002,September,9/30/2002,total,2749559,https://elections.maryland.gov/pdf/vrar/0002_09.pdf
