county,dem,rep,grn,lib,unaf,oth,total,date,conf.mailing,inactive,dem_perc,rep_perc,grn_perc,lib_perc,unaf_perc,oth_perc
ALLEGANY,13864,21284,135,284,7117,302,42986,2018-01-31,234,2981,32.252361233890106,49.51379518913134,0.3140557390778393,0.6606802214674545,16.55655329642209,0.7025543200111665
ANNE ARUNDEL,159780,134468,832,2708,82760,1223,381771,2018-01-31,4660,21399,41.85231460744792,35.22216197668236,0.21793169203527768,0.7093257476340529,21.67791686639373,0.3203491098066642
BALTIMORE CITY,301200,31039,1264,1416,45782,1658,382359,2018-01-31,5347,27109,78.77413634830094,8.117763672360269,0.3305793769729495,0.3703325931912156,11.973564111214854,0.43362389795977074
BALTIMORE CO.,305849,142241,1449,3096,90743,4448,547826,2018-01-31,6215,28367,55.82958822691877,25.964631105497,0.2645000419841336,0.5651429468480869,16.564201041936673,0.8119366368153392
CALVERT,23607,26554,136,489,13265,393,64444,2018-01-31,2012,4291,36.63180435727143,41.2047669294271,0.21103593817888397,0.758798336540252,20.58376264663894,0.6098317919433928
CAROLINE,6853,9156,29,107,3821,117,20083,2018-01-31,98,1039,34.1233879400488,45.590798187521784,0.14440073694169198,0.5327889259572772,19.02604192600707,0.582582283523378
CARROLL,32170,63176,264,899,24039,823,121371,2018-01-31,663,7134,26.50550790551285,52.05197287655206,0.21751489235484586,0.7407041220719941,19.806214004992956,0.6780861985152961
CECIL,21232,27543,152,423,13992,561,63903,2018-01-31,1447,7520,33.225357181978936,43.10126285150932,0.2378605073314242,0.6619407539552133,21.8956856485611,0.8778930566640064
CHARLES,66193,25331,155,479,18001,491,110650,2018-01-31,628,7683,59.82196113872571,22.892905558065973,0.140081337550836,0.43289652056032535,16.268413917758696,0.4437415273384546
DORCHESTER,9947,8080,26,116,2981,98,21248,2018-01-31,131,1366,46.81381777108434,38.02710843373494,0.12236445783132531,0.545933734939759,14.029555722891565,0.4612198795180723
FREDERICK,62111,66095,448,1283,38413,319,168669,2018-01-31,1691,11937,36.82419413170174,39.18621679146731,0.26560897378890014,0.7606614137749083,22.77419087087728,0.18912781838986417
GARRETT,4243,12694,37,102,2455,134,19665,2018-01-31,100,1305,21.57640478006611,64.55123315535215,0.18815153826595474,0.5186880244088482,12.484108822781593,0.6814136791253496
HARFORD,64110,77244,390,1374,34785,1125,179028,2018-01-31,1178,9244,35.810040887458946,43.146323480126014,0.2178430189690998,0.7674777129834439,19.42992157651317,0.6283933239493265
HOWARD,105229,55804,510,1230,47349,1830,211952,2018-01-31,1252,14166,49.64756171208575,26.328602702498678,0.2406205178530988,0.5803200724692383,22.339491960443876,0.8634030346493546
KENT,5969,4694,25,74,2051,104,12917,2018-01-31,63,848,46.21042037624836,36.33970736239065,0.19354339242858248,0.5728884415886042,15.878299914840907,0.8051405125029032
MONTGOMERY,377455,114859,1648,2989,142588,4640,644179,2018-01-31,6230,81113,58.594738418979816,17.830292511863938,0.2558295132253613,0.4640014654311923,22.1348414027778,0.7202966877218909
PR. GEORGE'S,449680,40885,1041,1582,66158,11552,570898,2018-01-31,23869,43239,78.76713528511222,7.161524475475479,0.1823443066887605,0.27710729412259283,11.58840983853508,2.023478800065861
QUEEN ANNE'S,10680,17686,78,250,6604,174,35472,2018-01-31,295,2148,30.108254397834912,49.859043752819126,0.2198917456021651,0.7047812359043752,18.617501127649977,0.4905277401894452
ST. MARY'S,25406,29195,134,519,14172,409,69835,2018-01-31,453,5963,36.38003866256175,41.80568482852438,0.19188086203193241,0.7431803536908427,20.293549079974223,0.5856662132168683
SOMERSET,5885,5158,20,57,1810,74,13004,2018-01-31,83,1087,45.25530605967394,39.664718548139035,0.15379883112888343,0.43832666871731774,13.91879421716395,0.5690556751768686
TALBOT,10029,11595,48,153,4880,185,26890,2018-01-31,181,1431,37.296392711044994,43.12011900334697,0.17850502045370026,0.5689847526961697,18.148010412792857,0.687988099665303
WASHINGTON,31839,42187,256,684,19097,455,94518,2018-01-31,536,9054,33.68564717831524,44.633826361116405,0.27084788082693245,0.72367168158446,20.204617109968474,0.48138978818849315
WICOMICO,26427,22781,145,410,10892,439,61094,2018-01-31,4300,4008,43.25629358038432,37.28844076341375,0.23733918224375555,0.6710969980685502,17.828264641372314,0.7185648345173012
WORCESTER,14055,16402,82,241,6944,290,38014,2018-01-31,1723,2350,36.97322039248698,43.14726153522386,0.21571000157836587,0.633976955858368,18.266954280002103,0.7628768348503183
Total,2133813,1006151,9304,20965,700699,31844,3902776,2018-01-31,63389,296782,54.67423700463465,25.780393238043896,0.23839441464229566,0.5371817393568066,17.953861559054378,0.8159320442679774
ALLEGANY,13826,21317,137,283,7146,302,43011,2018-02-28,36,2963,32.1452651647253,49.561740019994886,0.3185231684917812,0.6579712166655042,16.614354467461812,0.7021459626607147
